boxModelID,dataContributors,coreName,S,SMin,SMax,STracer,SComment,M1,M2,M1Min,M1Max,MTracer,MComment,L1,L2,L1Min,L1Max,LTracer,LComment,WD,WDMax,WDMin,WDComment,lat,lat1,lat2,long,long1,long2,coordSource,coordComment,coringYear,coringMonth,coringYearEarliest,coringMonthEarliest,coringYearLatest,coringMonthLatest
BMID0001,Alperin et al. (1999) ,A,0.1000000000,NA,NA,239240Pu + 210Pb,NA,0.5500000000,NA,NA,NA,239240Pu + 210Pb,NA,18.0000000000,NA,NA,NA,239240Pu + 210Pb,NA,300.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin1999,NA,NA,NA,NA,NA,NA,NA
BMID0002,Alperin et al. (1999) ,B,0.1250000000,NA,NA,239240Pu + 210Pb,NA,1.2000000000,NA,NA,NA,239240Pu + 210Pb,NA,11.0000000000,NA,NA,NA,239240Pu + 210Pb,NA,500.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin1999,NA,NA,NA,NA,NA,NA,NA
BMID0003,Alperin et al. (1999) ,C,0.1250000000,NA,NA,239240Pu + 210Pb,NA,1.2500000000,NA,NA,NA,239240Pu + 210Pb,NA,25.0000000000,NA,NA,NA,239240Pu + 210Pb,NA,750.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin1999,NA,NA,NA,NA,NA,NA,NA
BMID0004,Alperin et al. (1999) ,D,0.0100000000,NA,NA,239240Pu + 210Pb,NA,0.5500000000,NA,NA,NA,239240Pu + 210Pb,NA,18.0000000000,NA,NA,NA,239240Pu + 210Pb,NA,1000.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin1999,NA,NA,NA,NA,NA,NA,NA
BMID0005,Alperin et al. (1999) ,1,0.0350000000,NA,NA,239240Pu + 210Pb,NA,50.5000000000,0.4500000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,1.6000000000,11.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,212.0000000000,NA,NA,NA,36.0670000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1993.0000000000,5.0000000000,NA,NA,NA,NA
BMID0006,Alperin et al. (1999) ,2,0.0950000000,NA,NA,239240Pu + 210Pb,NA,50.4000000000,0.4000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,2.7000000000,20.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,296.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1993.0000000000,9.0000000000,NA,NA,NA,NA
BMID0007,Alperin et al. (1999) ,3,0.0300000000,NA,NA,239240Pu + 210Pb,NA,52.0000000000,2.0000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,2.2000000000,13.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,325.0000000000,NA,NA,NA,36.0670000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1993.0000000000,5.0000000000,NA,NA,NA,NA
BMID0008,Alperin et al. (1999) ,4,0.0350000000,NA,NA,239240Pu + 210Pb,NA,50.3000000000,0.3000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,0.8200000000,8.8000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,455.0000000000,NA,NA,NA,36.0500000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1993.0000000000,5.0000000000,NA,NA,NA,NA
BMID0009,"DeVito (1981), Alperin et al. (2002)",5,0.1100000000,NA,NA,239240Pu + 210Pb,NA,50.7000000000,0.6500000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,1.6000000000,9.8000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,490.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1980.0000000000,9.0000000000,NA,NA,NA,NA
BMID0010,"DeVito (1981), Alperin et al. (2002)",6,0.1000000000,NA,NA,239240Pu + 210Pb,NA,50.6000000000,0.6000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,2.2000000000,9.8000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,532.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1980.0000000000,9.0000000000,NA,NA,NA,NA
BMID0011,Alperin et al. (2002) ,7,0.1250000000,NA,NA,239240Pu + 210Pb,NA,51.2000000000,1.2000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,1.1000000000,13.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,544.0000000000,NA,NA,NA,36.3330000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1993.0000000000,9.0000000000,NA,NA,NA,NA
BMID0012,Alperin et al. (2002) ,8,0.1300000000,NA,NA,239240Pu + 210Pb,NA,50.4000000000,0.4000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,3.8000000000,22.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,607.0000000000,NA,NA,NA,35.8500000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1996.0000000000,8.0000000000,NA,NA,NA,NA
BMID0013,Alperin et al. (2002) ,9,0.4250000000,NA,NA,239240Pu + 210Pb,NA,55.2000000000,5.2000000000,NA,NA,239240Pu + 210Pb,M1 = 50 + M_2 ,4.5000000000,20.0000000000,NA,NA,239240Pu + 210Pb,L1 and L2 is where mixing drops to ten percent of M1 resp. M2,746.0000000000,NA,NA,NA,35.4170000000,NA,NA,NA,-75.0000000000,-74.5000000000,Fig 1 in alperin2002,NA,1996.0000000000,8.0000000000,NA,NA,NA,NA
