UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11835;64;2ul10;6;Pan M28;Pan M28-0-2-001;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.087;0.026;0.068;0.039;0.009;0.040;0.007;0.027;0.4;4358;2657;1891;1730;1364;510;664;945;14120;19633;1708;12677;331;8667;593;11408;8150;979;319;6623;56;2405;3230;95;4507;22;121;right
11836;10;2ul10;6;Pan M28;Pan M28-0-2-002;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.057;0.023;0.035;0.040;0.009;0.049;0.006;0.022;0.4;3194;1885;1405;1130;1093;346;566;680;10299;15264;871;9306;216;6855;241;11652;5487;1010;222;5473;48;1667;2844;82;3362;17;73;right
11837;8;2ul10;6;Pan M28;Pan M28-0-2-003;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.055;0.023;0.043;0.050;0.008;0.015;0.012;0.009;0.4;5955;3196;2582;2237;2464;560;1106;1211;19311;6812;375;3770;88;2989;127;6172;2572;241;128;2950;25;666;1320;10;1450;16;13;right
11838;7;2ul10;6;Pan M28;Pan M28-0-2-004;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.053;0.022;0.032;0.041;0.011;0.018;0.014;0.014;0.4;1808;1053;785;720;462;185;208;303;5523;1923;102;1154;26;852;27;977;774;224;32;512;6;203;229;4;334;3;5;right
11839;37;2ul10;6;Pan M28;Pan M28-0-2-005;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.076;0.031;0.063;0.042;0.009;0.039;0.014;0.033;0.4;3958;2091;1685;1625;1820;569;948;1036;13732;3824;292;2110;65;1649;104;5072;1623;208;67;1876;17;570;972;22;1043;14;34;right
11840;30;2ul10;6;Pan M28;Pan M28-0-2-006;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.072;0.029;0.046;0.049;0.012;0.037;0.213;0.027;0.5;1853;1082;861;862;539;229;257;331;6014;15465;1109;9411;269;7365;336;6599;7352;1789;357;4759;58;1972;1897;73;2879;403;79;right
11841;53;2ul10;6;Pan M28;Pan M28-0-2-007;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.083;0.027;0.080;0.035;0.012;0.027;0.011;0.004;0.5;1667;1012;763;759;683;242;324;349;5799;1814;151;1162;31;833;67;1583;864;236;30;796;10;277;377;8;410;4;2;right
11842;7;2ul10;6;Pan M28;Pan M28-0-2-008;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.053;0.024;0.032;0.064;0.005;0.032;0.116;0.026;0.5;2059;1255;1077;999;645;383;361;489;7267;17011;901;10665;252;9077;289;15476;8166;1740;522;5583;31;3233;2810;102;4149;327;106;right
11843;15;2ul10;6;Pan M28;Pan M28-0-2-009;0-2;2;4;Corbula gibba;;;second replicate;NA;NA;NA;0.062;0.026;0.048;0.044;0.011;0.014;0.013;0.096;0.4;1732;972;744;703;454;192;220;327;5344;2476.1;152.6;1437.4;37.7;1077.8;52.1;1118.2;1022.1;303.6;45.1;681.4;7.6;287.3;329.7;4.1;453;4.3;43.3;right
11844;37;2ul10;6;Pan M28;Pan M28-0-2-010;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.076;0.027;0.067;0.034;0.008;0.069;0.010;0.028;0.4;2481;1476;1039;868;712;249;337;440;7602;11401;862;7101;192;4815;322;5870;4146;988;142;3491;27;1152;1648;79;2115;16;58;right
